project_key,issue_count,resolved_count,min_created,max_created,instance,resolved_with_assignee,distinct_resolvers,top2_share
ARIES,2056,1755,2009-09-29T21:33:22.000+0000,2022-01-01T11:38:09.000+0000,Apache,1549,41,0.288
OPENEJB,2046,1672,2004-01-28T12:42:35.000+0000,2021-05-20T19:57:04.000+0000,Apache,1211,44,0.463
APEXMALHAR,2041,1697,2014-01-13T20:26:11.000+0000,2019-03-22T18:49:34.000+0000,Apache,1416,62,0.268
ACJIRA,1999,1381,2012-11-06T23:42:31.000-0600,2021-12-30T03:01:22.484-0600,JiraEcosystem,0,0,
MRM,1993,1788,2004-07-22T12:12:27.000+0000,2022-01-04T18:02:14.000+0000,Apache,1497,29,0.509
SHINDIG,1979,1752,2007-12-17T02:50:31.000+0000,2015-07-21T13:48:11.000+0000,Apache,854,34,0.385
AURORA,1970,1578,2013-10-22T01:55:18.000+0000,2019-09-08T21:28:20.000+0000,Apache,1227,67,0.378
SUREFIRE,1958,1694,2004-08-31T17:29:31.000+0000,2022-01-01T00:01:48.000+0000,Apache,1280,38,0.693
COST,1932,1111,2020-01-23T19:05:34.000+0000,2022-01-04T19:33:51.000+0000,RedHat,936,27,0.345
QTMOBILITY,1926,1578,2009-11-17T04:11:05.000+0000,2013-08-09T11:15:31.000+0000,Qt,1565,107,0.176
SMX4,1905,1758,2007-09-20T19:42:11.000+0000,2021-04-26T07:57:51.000+0000,Apache,1681,20,0.729
DATALAB,1858,1610,2018-11-05T17:42:37.000+0000,2021-12-16T09:00:26.000+0000,Apache,1594,26,0.365
ORG,1850,1821,2007-05-22T09:55:14.000+0000,2021-12-21T10:15:49.000+0000,RedHat,1609,19,0.684
HAWQ,1808,1516,2015-09-19T02:33:03.000+0000,2022-01-03T09:07:02.000+0000,Apache,1514,54,0.195
DATACMNS,1781,1574,2010-11-22T03:14:21.000+0000,2020-12-30T00:06:53.000+0000,Spring,1574,9,0.909
UNDERTOW,1780,1585,2012-02-29T14:31:16.000+0000,2021-12-30T06:46:08.000+0000,RedHat,1573,55,0.809
DESIGN,1765,1653,2007-05-18T10:22:46.000+0000,2022-01-04T19:37:31.000+0000,RedHat,1344,16,0.773
XERCESJ,1725,1460,2001-02-09T08:44:45.000+0000,2021-12-15T16:32:04.000+0000,Apache,486,18,0.741
JDG,1710,1642,2016-02-10T09:32:33.000+0000,2021-12-16T16:32:29.000+0000,RedHat,1548,38,0.249
MINIFICPP,1707,1269,2016-03-30T15:37:02.000+0000,2022-01-05T16:27:47.000+0000,Apache,1162,35,0.37
AXIS2C,1692,1462,2006-01-11T02:42:05.000+0000,2021-10-29T16:31:18.000+0000,Apache,1043,22,0.337
CONNECTORS,1689,1580,2010-01-12T14:04:32.000+0000,2021-12-19T17:22:55.000+0000,Apache,1447,21,0.853
DATAJPA,1687,1490,2010-11-22T23:50:41.000+0000,2020-12-29T05:16:47.000+0000,Spring,1490,7,0.822
TOMAHAWK,1683,1197,2004-11-21T12:54:30.000+0000,2021-09-15T09:53:10.000+0000,Apache,931,35,0.546
SWF,1668,1209,2005-03-25T01:39:55.000+0000,2021-12-22T17:42:16.000+0000,Spring,1178,10,0.683
STRATOS,1662,1379,2013-07-25T09:24:19.000+0000,2016-10-27T08:54:57.000+0000,Apache,983,33,0.253
SYNCOPE,1650,1624,2012-02-21T14:26:29.000+0000,2021-12-27T15:36:27.000+0000,Apache,1518,27,0.698
LANG,1641,1410,2002-05-27T14:55:24.000+0000,2021-12-30T15:45:22.000+0000,Apache,439,26,0.408
QBS,1634,1376,2011-08-18T11:15:44.000+0000,2021-12-30T08:24:41.000+0000,Qt,1358,21,0.782
MATH,1628,1464,2003-05-13T00:22:30.000+0000,2021-12-21T07:25:52.000+0000,Apache,401,19,0.673
IVY,1623,1221,2004-10-27T10:24:51.000+0000,2021-12-17T20:32:42.000+0000,Apache,1040,13,0.839
HAL,1601,1497,2011-07-18T06:15:49.000+0000,2021-11-29T09:20:53.000+0000,RedHat,1407,38,0.645
PHPC,1600,1445,2012-02-13T01:21:02.000+0000,2022-01-04T15:32:23.000+0000,MongoDB,1233,10,0.731
PYSIDE,1595,1359,2012-02-28T14:48:58.000+0000,2022-01-04T14:25:00.000+0000,Qt,1174,29,0.676
GOBBLIN,1591,1056,2017-03-12T05:06:40.000+0000,2022-01-04T23:57:29.000+0000,Apache,587,19,0.378
JCLOUDS,1590,1124,2013-05-08T01:03:10.000+0000,2022-01-05T08:16:44.000+0000,Apache,744,37,0.453
DATAREST,1565,862,2012-04-16T06:41:49.000+0000,2020-12-28T16:05:47.000+0000,Spring,861,7,0.852
OLINGO,1552,1247,2013-07-23T10:40:05.000+0000,2021-12-30T08:47:06.000+0000,Apache,1021,18,0.57
AC,1544,1280,2011-11-24T00:45:17.000-0600,2021-10-05T18:45:14.932-0500,JiraEcosystem,0,0,
SPRNET,1537,1320,2004-08-25T01:35:27.000+0000,2020-02-24T18:13:05.000+0000,Spring,1314,18,0.612
AUTOSUITE,1521,1396,2016-02-11T22:36:22.000+0000,2021-11-30T13:32:22.000+0000,Qt,1388,62,0.274
CLOV,1501,1501,2007-08-01T23:41:41.000+0000,2017-01-19T13:54:17.000+0000,Jira,831,20,0.617
PLE,1499,1499,2008-03-03T02:58:28.658-0600,2015-05-28T10:01:14.892-0500,JiraEcosystem,0,0,
AMPS,1490,1398,2009-06-24T23:19:17.457-0500,2021-12-13T08:21:34.958-0600,JiraEcosystem,0,0,
GUACAMOLE,1485,1198,2016-03-29T03:34:39.000+0000,2022-01-05T15:39:14.000+0000,Apache,471,8,0.966
AG,1485,1458,2008-08-27T18:05:50.133-0500,2021-10-15T07:16:21.449-0500,JiraEcosystem,0,0,
MADLIB,1482,479,2011-02-14T21:57:24.000+0000,2022-01-05T02:39:43.000+0000,Apache,301,23,0.482
RHSSO,1477,1477,2015-04-28T06:10:59.000+0000,2020-07-31T05:55:19.000+0000,RedHat,1194,53,0.203
FINERACT,1476,876,2015-12-24T07:15:03.000+0000,2022-01-05T04:28:39.000+0000,Apache,806,55,0.35
ENTMQ,1473,1469,2011-08-24T20:43:39.000+0000,2021-10-22T21:21:24.000+0000,RedHat,1100,47,0.68
STANBOL,1473,1317,2010-11-23T09:39:50.000+0000,2019-04-14T02:57:53.000+0000,Apache,1015,18,0.701
TRACING,1467,1370,2018-01-26T03:49:25.000+0000,2021-12-21T16:29:46.000+0000,RedHat,1232,15,0.572
RATIS,1467,1180,2017-02-01T13:50:56.000+0000,2021-12-30T12:11:25.000+0000,Apache,1122,73,0.424
DATAGRAPH,1465,1402,2010-09-05T17:31:43.000+0000,2020-12-30T10:48:18.000+0000,Spring,1362,28,0.471
LENS,1451,1085,2014-11-12T04:01:10.000+0000,2020-06-15T02:11:14.000+0000,Apache,1015,43,0.482
MXNET,1407,312,2017-11-02T15:55:20.000+0000,2021-08-06T12:13:03.000+0000,Apache,167,34,0.162
ODC,1406,1217,2019-06-12T03:13:53.000+0000,2021-12-22T09:54:24.000+0000,RedHat,1052,31,0.194
JBJCA,1399,1355,2004-12-14T16:48:08.000+0000,2021-11-29T17:02:03.000+0000,RedHat,1348,28,0.867
OWB,1393,1357,2008-11-17T14:16:03.000+0000,2021-12-13T13:29:15.000+0000,Apache,1268,19,0.677
DELTASPIKE,1390,1331,2011-12-12T22:15:06.000+0000,2020-03-25T16:44:55.000+0000,Apache,1170,29,0.517
IDE,1386,1386,2005-04-01T02:35:00.000+0000,2017-03-29T07:46:45.000+0000,Spring,1227,13,0.859
JS2,1354,1252,2004-03-26T01:19:44.000+0000,2021-03-10T01:56:44.000+0000,Apache,1051,16,0.576
USERGRID,1341,865,2013-11-18T14:41:59.000+0000,2021-10-11T09:55:39.000+0000,Apache,684,30,0.358
SWIFT,1338,1045,2018-01-28T19:22:29.000+0000,2021-12-27T19:25:25.000+0000,MongoDB,677,15,0.725
APIMAN,1333,916,2014-04-24T13:31:10.000+0000,2020-11-17T21:40:29.000+0000,RedHat,916,12,0.9
SB,1319,1211,2017-01-09T02:30:42.000+0000,2021-11-24T14:16:37.000+0000,RedHat,1162,22,0.469
BATIK,1317,904,2001-01-22T14:46:21.000+0000,2021-12-13T15:21:53.000+0000,Apache,837,4,0.988
ID,1310,1014,2003-03-03T10:23:05.000+0000,2022-01-05T06:38:10.000+0000,Jira,190,85,0.263
HAWKULAR,1309,1244,2015-01-15T20:04:39.000+0000,2018-02-07T06:26:48.000+0000,RedHat,1024,40,0.328
OPENNLP,1309,1139,2010-12-01T16:46:23.000+0000,2021-12-27T21:58:17.000+0000,Apache,966,21,0.665
SWSQE,1299,1148,2018-02-14T09:15:33.000+0000,2021-12-13T14:40:45.000+0000,RedHat,1116,14,0.602
OCPPLAN,1291,754,2019-09-11T11:48:51.000+0000,2022-01-04T10:21:04.000+0000,RedHat,588,57,0.313
RAVE,1286,864,2011-04-01T12:04:33.000+0000,2015-01-23T05:56:04.000+0000,Apache,612,31,0.359
DIRSTUDIO,1277,1084,2006-11-27T15:11:52.000+0000,2021-11-22T02:12:12.000+0000,Apache,760,9,0.951
APL,1266,1195,2007-12-04T10:20:33.000-0600,2021-11-23T08:22:05.079-0600,JiraEcosystem,0,0,
SLIDER,1265,963,2014-05-02T18:20:54.000+0000,2018-06-01T09:01:40.000+0000,Apache,893,30,0.529
RHDM,1260,1165,2014-06-13T06:34:00.000+0000,2021-12-16T17:47:53.000+0000,RedHat,1151,87,0.241
DATAREDIS,1257,1146,2010-12-03T08:59:14.000+0000,2020-12-19T09:10:56.000+0000,Spring,1097,8,0.71
GIRAPH,1252,1062,2011-08-10T23:59:46.000+0000,2021-11-17T20:56:57.000+0000,Apache,796,52,0.347
FOR,1251,842,2002-11-16T13:19:12.000+0000,2018-07-25T06:56:15.000+0000,Apache,304,18,0.586
QSR,1248,949,2017-04-03T13:29:02.000+0000,2022-01-04T08:32:54.000+0000,Qt,948,23,0.516
SSHD,1235,1152,2008-12-10T10:03:36.000+0000,2021-12-27T03:44:55.000+0000,Apache,904,5,0.968
BEEHIVE,1231,1082,2004-08-20T21:25:44.000+0000,2009-10-12T18:09:15.000+0000,Apache,957,31,0.374
SUBMARINE,1171,1031,2018-04-09T21:37:09.000+0000,2022-01-03T11:47:31.000+0000,Apache,978,70,0.191
PLUG,1161,1104,2005-03-15T23:06:49.959-0600,2021-12-01T20:35:20.031-0600,JiraEcosystem,0,0,
YETUS,1136,898,2008-09-24T04:32:11.000+0000,2021-12-24T03:18:37.000+0000,Apache,744,52,0.715
XW,1128,1007,2003-02-19T22:31:11.000+0000,2014-04-11T03:48:28.000+0000,Apache,615,25,0.511
VCL,1122,981,2009-01-06T16:01:29.000+0000,2021-09-14T14:38:00.000+0000,Apache,525,7,0.829
SYNAPSE,1120,990,2005-12-23T20:25:02.000+0000,2021-02-05T18:43:18.000+0000,Apache,829,25,0.472
DIRMINA,1114,1082,2005-02-01T10:06:23.000+0000,2022-01-05T10:57:04.000+0000,Apache,660,17,0.718
KATA,1106,712,2020-03-12T06:39:59.000+0000,2022-01-04T18:32:01.000+0000,RedHat,601,36,0.281
ERRAI,1104,962,2009-09-30T12:18:37.000+0000,2021-04-23T12:19:26.000+0000,RedHat,823,26,0.504
EAGLE,1097,819,2015-11-03T02:26:59.000+0000,2020-11-20T08:08:31.000+0000,Apache,780,29,0.345
CMIS,1096,997,2008-12-23T10:12:40.000+0000,2021-08-05T06:58:03.000+0000,Apache,713,17,0.641
BOOKKEEPER,1095,1022,2009-02-04T11:01:20.000+0000,2017-10-17T21:54:33.000+0000,Apache,872,44,0.528
AXISCPP,1087,996,2003-09-24T19:29:38.000+0000,2016-01-15T14:20:23.000+0000,Apache,586,20,0.416
ODE,1078,838,2006-02-18T11:53:10.000+0000,2020-01-13T17:23:18.000+0000,Apache,638,20,0.487
ORC,1075,848,2013-01-11T16:21:06.000+0000,2022-01-05T18:13:41.000+0000,Apache,804,88,0.434
CLEREZZA,1069,799,2009-12-01T03:19:24.000+0000,2021-08-29T06:12:28.000+0000,Apache,713,12,0.655
TAVERNA,1063,189,2006-08-16T10:44:58.000+0000,2020-01-27T06:53:50.000+0000,Apache,128,12,0.586
STDCXX,1062,711,2005-07-23T03:42:16.000+0000,2013-06-13T05:35:01.000+0000,Apache,655,9,0.763
JSPWIKI,1050,901,2007-10-13T21:55:21.000+0000,2021-12-31T15:53:58.000+0000,Apache,394,12,0.673
RUST,1046,815,2018-05-10T19:05:26.000+0000,2021-12-21T18:59:19.000+0000,MongoDB,698,13,0.66
LIBCLOUD,1045,593,2009-12-16T03:25:47.000+0000,2019-06-06T17:31:55.000+0000,Apache,251,12,0.809
MRELEASE,1045,948,2005-09-07T08:44:18.000+0000,2022-01-01T16:17:14.000+0000,Apache,616,37,0.526
SWS,1041,891,2006-02-06T19:14:05.000+0000,2020-09-18T09:31:55.000+0000,Spring,863,7,0.942
OODT,1040,976,2010-02-07T23:19:27.000+0000,2021-10-09T14:08:30.000+0000,Apache,809,26,0.566
PIVOT,1039,844,2009-01-26T14:43:51.000+0000,2021-10-08T08:02:59.000+0000,Apache,634,9,0.535
JUDDI,1012,991,2004-01-17T22:54:01.000+0000,2021-06-09T22:21:53.000+0000,Apache,979,9,0.613
HAMA,1006,867,2008-05-29T11:20:24.000+0000,2019-04-27T16:35:27.000+0000,Apache,768,36,0.703
DATAES,1003,952,2013-04-29T23:57:40.000+0000,2020-12-28T14:48:16.000+0000,Spring,868,12,0.574
YUNIKORN,994,801,2020-02-06T06:17:36.000+0000,2022-01-05T10:38:40.000+0000,Apache,769,42,0.328
MSHARED,991,933,2005-08-19T00:01:10.000+0000,2022-01-04T15:43:58.000+0000,Apache,831,39,0.438
AAH,979,603,2020-10-05T08:12:31.000+0000,2022-01-03T12:46:34.000+0000,RedHat,473,24,0.516
CLIMATE,973,857,2013-04-28T16:00:49.000+0000,2020-02-25T23:41:26.000+0000,Apache,840,21,0.57
SMXCOMP,972,746,2005-10-13T23:29:37.000+0000,2017-01-19T12:03:15.000+0000,Apache,717,18,0.642
QTVSADDINBUG,967,818,2006-10-12T07:50:00.000+0000,2022-01-04T09:52:53.000+0000,Qt,818,9,0.774
SECURITY,959,827,2006-09-05T13:15:33.000+0000,2021-05-13T09:32:01.000+0000,RedHat,826,32,0.663
CE,959,693,2012-04-18T19:22:33.000-0500,2018-06-17T10:18:21.551-0500,JiraEcosystem,0,0,
SCM,958,923,2004-04-21T09:01:36.000+0000,2022-01-03T13:48:57.000+0000,Apache,672,32,0.555
XALANJ,954,697,2001-07-31T15:34:01.000+0000,2008-04-17T15:24:49.000+0000,Apache,291,25,0.268
MASSEMBLY,941,864,2005-06-08T00:57:18.000+0000,2021-11-16T19:56:10.000+0000,Apache,667,33,0.613
CS,940,845,2020-02-18T10:13:23.000+0000,2022-01-03T21:23:38.000+0000,RedHat,838,19,0.563
JWS,930,862,2014-03-31T14:42:15.000+0000,2021-12-21T07:47:58.000+0000,RedHat,852,49,0.468
SGF,917,891,2010-07-14T20:00:31.000+0000,2021-09-23T07:44:35.000+0000,Spring,891,12,0.727
MULTIARCH,915,656,2020-10-20T15:34:16.000+0000,2022-01-03T09:40:40.000+0000,RedHat,561,49,0.346
VELOCITY,886,873,2001-03-21T23:07:22.000+0000,2021-12-25T20:21:58.000+0000,Apache,228,18,0.719
SDN,879,539,2019-09-19T15:12:02.000+0000,2021-12-23T11:24:46.000+0000,RedHat,433,58,0.162
HELIX,857,528,2012-10-24T12:41:14.000+0000,2022-01-03T18:42:14.000+0000,Apache,415,14,0.699
APPDUX,842,842,2019-01-08T10:43:52.000+0000,2021-08-09T14:18:58.000+0000,RedHat,669,41,0.248
LIVY,841,489,2015-03-20T21:55:46.000+0000,2021-12-29T07:28:42.000+0000,Apache,376,61,0.359
ENTMQIC,838,683,2015-04-30T10:20:37.000+0000,2021-12-17T13:23:48.000+0000,RedHat,547,21,0.245
SHIRO,838,580,2008-07-18T14:12:45.000+0000,2021-11-04T11:11:01.000+0000,Apache,304,9,0.655
I18N,837,411,2006-06-20T03:14:39.000+0000,2022-01-04T06:32:18.000+0000,Jira,347,17,0.752
AMQP,834,818,2010-07-03T03:49:59.000+0000,2018-12-12T21:20:39.000+0000,Spring,818,12,0.773
DRIVERS,833,559,2011-09-12T15:28:33.000+0000,2022-01-04T15:51:11.000+0000,MongoDB,214,30,0.607
MR,831,814,2007-07-20T14:00:57.000+0000,2015-02-23T09:42:12.000+0000,RedHat,772,36,0.65
LOG,830,553,2020-03-23T04:32:26.000+0000,2021-12-31T06:21:50.000+0000,RedHat,482,32,0.442
DATACASS,826,792,2013-05-29T11:06:51.000+0000,2020-12-31T10:15:21.000+0000,Spring,788,10,0.763
CHUKWA,822,677,2008-10-23T09:41:03.000+0000,2019-07-05T18:41:20.000+0000,Apache,595,27,0.692
OSGI,815,734,2006-06-26T00:57:57.000+0000,2011-06-16T01:46:03.000+0000,Spring,726,4,0.971
JDF,814,741,2011-11-22T08:31:02.000+0000,2021-12-15T14:08:17.000+0000,RedHat,703,43,0.556
XALANC,813,746,2001-02-21T15:21:42.000+0000,2021-11-29T10:00:17.000+0000,Apache,274,12,0.642
VFS,809,556,2004-03-18T23:03:47.000+0000,2021-12-22T13:33:54.000+0000,Apache,208,11,0.736
GERONIMODEVTOOLS,806,696,2004-12-06T09:22:24.000+0000,2018-01-05T10:41:35.000+0000,Apache,628,24,0.475
CONFIGURATION,805,705,2003-01-29T02:09:26.000+0000,2021-09-08T06:47:28.000+0000,Apache,221,6,0.878
CLK,804,730,2005-09-03T05:48:33.000+0000,2014-08-01T19:55:29.000+0000,Apache,636,8,0.898
RFE,803,296,2019-03-26T15:10:19.000+0000,2022-01-04T19:19:27.000+0000,RedHat,275,29,0.327
INLONG,800,676,2019-12-24T12:26:27.000+0000,2021-11-22T04:36:39.000+0000,Apache,614,46,0.469
JDO,798,756,2005-04-02T06:01:40.000+0000,2021-12-10T20:46:07.000+0000,Apache,697,13,0.498
MOTOR,796,742,2012-03-20T23:42:04.000+0000,2022-01-04T15:57:18.000+0000,MongoDB,412,7,0.782
PLUTO,792,776,2003-10-07T01:06:16.000+0000,2021-12-17T17:08:23.000+0000,Apache,438,19,0.475
QTWEBSITE,787,700,2010-02-24T21:06:55.000+0000,2022-01-04T08:51:51.000+0000,Qt,686,47,0.552
MIG,786,278,2014-12-09T21:30:37.000+0000,2022-01-04T17:48:41.000+0000,Jira,180,63,0.256
GERONIMO,782,752,2003-08-20T05:24:40.000+0000,2019-04-17T03:26:23.000+0000,Apache,577,28,0.433
APEXCORE,782,536,2015-07-06T21:03:53.000+0000,2020-03-04T21:43:07.000+0000,Apache,502,42,0.353
MSITE,779,741,2004-07-22T12:17:48.000+0000,2021-12-22T09:11:04.000+0000,Apache,547,32,0.437
IBATIS,777,569,2004-11-19T01:52:19.000+0000,2010-05-20T14:05:47.000+0000,Apache,286,7,0.839
MONGOSH,765,667,2012-02-01T20:02:19.000+0000,2021-12-21T14:52:41.000+0000,MongoDB,544,12,0.783
WINDUPRULE,765,557,2013-10-10T15:33:20.000+0000,2021-12-24T11:27:58.000+0000,RedHat,467,30,0.358
SPFE,764,549,2019-02-22T09:06:38.712-0600,2021-12-13T05:04:16.076-0600,JiraEcosystem,0,0,
WHIRR,754,544,2009-06-25T15:08:25.000+0000,2015-03-13T21:41:38.000+0000,Apache,474,41,0.538
AMQDOC,751,578,2013-12-03T13:37:07.000+0000,2021-10-25T10:10:13.000+0000,RedHat,519,26,0.351
MDEP,750,616,2005-12-27T10:48:46.000+0000,2021-12-13T20:24:46.000+0000,Apache,441,28,0.447
QUARKUS,748,620,2020-09-23T05:17:29.000+0000,2022-01-04T16:48:52.000+0000,RedHat,414,62,0.329
DIRKRB,747,638,2004-11-22T20:40:30.000+0000,2021-08-27T02:09:44.000+0000,Apache,598,21,0.46
COLLECTIONS,744,651,2001-05-12T05:46:31.000+0000,2021-12-31T05:43:42.000+0000,Apache,82,15,0.5
IO,744,594,2003-04-04T21:52:17.000+0000,2021-12-24T23:47:28.000+0000,Apache,192,16,0.693
CDI,737,737,2009-11-27T23:34:18.000+0000,2020-06-09T05:06:03.000+0000,RedHat,403,14,0.806
BUILDR,735,720,2007-12-10T19:59:12.000+0000,2018-09-10T08:53:33.000+0000,Apache,384,7,0.56
MON,728,462,2019-07-01T12:12:56.000+0000,2022-01-04T14:45:25.000+0000,RedHat,375,32,0.163
MECLIPSE,723,723,2005-03-03T19:04:50.000+0000,2015-10-07T18:31:45.000+0000,Apache,358,22,0.419
PLINK,723,669,2009-03-16T04:39:09.000+0000,2020-06-02T00:55:55.000+0000,RedHat,655,7,0.918
JPERF,721,405,2018-08-20T05:27:34.364-0500,2021-12-22T07:40:15.851-0600,JiraEcosystem,0,0,
AO,720,693,2010-01-26T17:21:12.961-0600,2021-12-14T03:56:46.319-0600,JiraEcosystem,0,0,
PHPLIB,716,630,2012-10-11T17:13:54.000+0000,2022-01-04T15:57:14.000+0000,MongoDB,535,8,0.8
MNEMONIC,711,664,2016-03-13T06:31:36.000+0000,2021-12-19T05:38:05.000+0000,Apache,639,27,0.657
NET,700,657,2002-02-22T17:31:52.000+0000,2022-01-01T13:26:45.000+0000,Apache,7,5,0.571
COIN,699,497,2011-12-19T13:49:25.000+0000,2022-01-03T07:47:59.000+0000,Qt,487,35,0.55
CRUNCH,697,598,2012-07-05T21:27:33.000+0000,2021-02-02T16:24:28.000+0000,Apache,472,19,0.655
ERT,694,538,2016-01-27T17:07:31.000+0000,2019-11-20T16:34:16.000+0000,RedHat,413,21,0.487
MODCLUSTER,692,625,2008-06-23T14:24:22.000+0000,2021-12-14T18:23:03.000+0000,RedHat,622,15,0.759
MJAVADOC,690,657,2005-03-03T19:14:19.000+0000,2021-12-17T18:17:37.000+0000,Apache,534,33,0.579
HTTPCORE,687,678,2002-07-18T23:56:56.000+0000,2021-12-30T12:28:28.000+0000,Apache,169,7,0.722
WSS,684,670,2004-06-16T17:21:21.000+0000,2021-11-18T08:55:20.000+0000,Apache,650,11,0.837
WEEX,681,448,2017-01-04T06:50:32.000+0000,2021-04-19T15:44:52.000+0000,Apache,417,14,0.645
STREAMS,680,573,2012-12-17T21:48:05.000+0000,2020-11-11T20:03:35.000+0000,Apache,419,12,0.845
MARMOTTA,680,543,2012-12-14T11:33:52.000+0000,2021-02-23T15:04:57.000+0000,Apache,534,8,0.637
LOG4NET,680,456,2005-03-01T06:53:54.000+0000,2021-12-10T05:19:48.000+0000,Apache,216,6,0.731
DATACOUCH,676,560,2013-06-01T02:31:21.000+0000,2020-12-21T22:07:18.000+0000,Spring,560,11,0.404
SRVKP,664,370,2019-02-25T18:45:27.000+0000,2021-12-22T05:26:36.000+0000,RedHat,318,23,0.255
ACJS,654,587,2014-03-05T20:20:49.905-0600,2021-11-24T18:44:13.697-0600,JiraEcosystem,0,0,
LUCENENET,649,649,2006-04-03T03:56:52.000+0000,2021-08-25T21:34:32.000+0000,Apache,284,12,0.637
HCATALOG,649,491,2011-03-29T00:55:14.000+0000,2013-07-12T23:11:22.000+0000,Apache,437,34,0.272
GORA,649,521,2010-10-08T21:27:22.000+0000,2021-11-06T14:41:35.000+0000,Apache,389,50,0.368
AMQCPP,646,612,2006-06-29T19:38:36.000+0000,2021-12-02T13:14:29.000+0000,Apache,601,5,0.993
NPANDAY,634,501,2008-12-03T10:51:00.000+0000,2014-12-11T02:23:58.000+0000,Apache,225,6,0.809
FAI,633,437,2019-05-31T05:14:52.000+0000,2022-01-03T07:57:47.000+0000,RedHat,427,13,0.518
RCP,632,514,2004-06-08T22:25:54.000+0000,2019-03-01T02:34:03.000+0000,Spring,495,12,0.469
ACCESS,629,197,2014-09-08T00:23:56.470-0500,2018-10-29T17:59:16.236-0500,JiraEcosystem,0,0,
BROOKLYN,628,333,2014-06-17T09:01:01.000+0000,2021-04-13T17:48:47.000+0000,Apache,127,15,0.567
AMQNET,623,570,2005-10-26T19:51:48.000+0000,2021-12-20T13:24:12.000+0000,Apache,503,7,0.875
CURATOR,622,436,2013-03-22T22:00:50.000+0000,2021-12-30T05:34:59.000+0000,Apache,315,11,0.829
JBCS,622,550,2015-02-17T16:35:37.000+0000,2021-12-21T15:55:47.000+0000,RedHat,539,39,0.391
AA,615,404,2020-12-16T09:07:47.000+0000,2022-01-04T15:27:09.000+0000,RedHat,305,20,0.439
DATASOLR,615,475,2012-09-11T23:46:02.000+0000,2020-12-09T15:54:35.000+0000,Spring,475,7,0.787
GITOPS,611,364,2020-02-03T17:23:46.000+0000,2021-12-31T10:01:25.000+0000,RedHat,304,21,0.257
DATAJDBC,610,493,2010-09-03T13:57:32.000+0000,2020-12-29T08:57:29.000+0000,Spring,493,6,0.761
WFK2,610,602,2013-02-18T15:50:49.000+0000,2016-01-22T04:36:01.000+0000,RedHat,600,37,0.525
COMPRESS,601,530,2004-08-06T00:05:25.000+0000,2022-01-05T18:43:47.000+0000,Apache,93,11,0.613
CONSOLE,598,283,2018-04-23T17:56:44.000+0000,2021-12-20T17:20:14.000+0000,RedHat,218,28,0.284
WAGON,594,579,2004-03-30T12:46:13.000+0000,2021-12-22T22:11:03.000+0000,Apache,436,24,0.571
PLUGWEB,594,540,2010-11-28T16:11:18.163-0600,2021-12-17T09:43:56.099-0600,JiraEcosystem,0,0,
XAP,589,301,2006-07-12T03:45:05.000+0000,2008-04-30T17:36:10.000+0000,Apache,38,5,0.868
DTACLOUD,587,432,2010-07-08T07:53:13.000+0000,2020-09-22T17:14:51.000+0000,Apache,401,12,0.618
XMLBEANS,584,422,2003-10-03T03:24:52.000+0000,2021-12-30T23:55:36.000+0000,Apache,150,14,0.347
SHDP,583,495,2009-07-22T04:22:23.000+0000,2019-02-15T09:34:58.000+0000,Spring,492,7,0.762
LEGAL,582,565,2008-06-10T00:28:49.000+0000,2021-12-20T18:04:15.000+0000,Apache,88,11,0.477
ARCHETYPE,581,521,2005-08-02T08:19:21.000+0000,2021-12-27T09:30:32.000+0000,Apache,269,31,0.424
TILES,578,545,2002-12-10T01:58:49.000+0000,2019-04-26T21:18:11.000+0000,Apache,418,9,0.933
FRGE,577,72,2019-11-26T06:16:40.246-0600,2022-01-04T01:44:25.564-0600,JiraEcosystem,0,0,
JCRVLT,577,503,2013-06-28T00:49:00.000+0000,2022-01-04T19:10:18.000+0000,Apache,313,5,0.971
DBCP,574,545,2002-02-25T22:39:56.000+0000,2021-10-26T12:55:21.000+0000,Apache,63,10,0.714
DOXIA,573,547,2005-04-14T19:46:33.000+0000,2021-12-31T12:49:09.000+0000,Apache,469,23,0.548
JS1,569,458,2001-04-23T18:47:51.000+0000,2021-10-29T21:52:28.000+0000,Apache,212,16,0.514
GREENHOUSE,559,366,2010-05-21T07:24:19.000+0000,2018-01-22T10:09:00.000+0000,Spring,183,3,0.831
CTAKES,556,346,2012-07-13T16:59:31.000+0000,2021-12-07T20:28:21.000+0000,Apache,250,15,0.608
CGW,555,533,2013-07-09T05:02:47.000+0000,2021-10-20T12:56:52.000+0000,RedHat,529,10,0.93
RIFTSAW,554,499,2009-07-14T11:45:27.000+0000,2015-11-26T20:16:49.000+0000,RedHat,486,13,0.772
TC,553,326,2016-10-19T16:08:32.000+0000,2017-08-25T15:46:19.000+0000,Apache,275,21,0.549
QPIDJMS,553,530,2013-07-30T09:20:37.000+0000,2021-12-20T16:40:36.000+0000,Apache,459,4,0.993
BEANUTILS,551,396,2001-10-29T08:07:57.000+0000,2021-12-23T22:30:41.000+0000,Apache,101,7,0.812
UNOMI,540,453,2015-11-05T12:39:31.000+0000,2022-01-05T14:00:34.000+0000,Apache,268,12,0.586
RYA,540,348,2015-10-09T17:18:38.000+0000,2021-03-17T12:09:51.000+0000,Apache,312,17,0.375
ACE,539,492,2009-04-27T07:31:04.000+0000,2018-02-14T23:30:40.000+0000,Apache,289,11,0.841
