project_key,issue_count,resolved_count,min_created,max_created,instance,resolved_with_assignee,distinct_resolvers,top2_share
CXF,8531,8083,2006-06-27T03:56:52.000+0000,2022-01-04T15:11:30.000+0000,Apache,6586,54,0.488
QPID,8465,7809,2006-09-18T09:57:49.000+0000,2021-12-09T09:00:40.000+0000,Apache,5832,48,0.211
JBAS,8394,8094,2001-04-06T03:49:30.000+0000,2020-03-24T01:38:51.000+0000,RedHat,7062,143,0.319
WT,8325,7499,2012-01-31T11:48:47.000+0000,2022-01-04T02:56:00.000+0000,MongoDB,6841,60,0.334
DRILL,8069,5378,2012-09-05T16:34:55.000+0000,2022-01-03T00:12:25.000+0000,Apache,4550,142,0.1
BSERV,7885,5663,2012-03-01T03:39:00.000+0000,2022-01-05T14:37:58.000+0000,Jira,1737,113,0.208
CLOUD,7755,6933,1982-11-26T02:23:00.000+0000,2021-12-30T14:58:23.000+0000,Jira,2316,118,0.29
AMQ,7540,6740,2004-04-20T14:14:03.000+0000,2022-01-04T21:22:12.000+0000,Apache,4304,48,0.344
KARAF,7145,6540,2009-04-28T15:00:25.000+0000,2022-01-03T17:12:02.000+0000,Apache,6150,25,0.761
DERBY,7123,5817,2004-09-24T21:22:40.000+0000,2021-12-14T09:17:11.000+0000,Apache,4504,113,0.236
MAPREDUCE,7047,5389,2006-03-17T12:26:20.000+0000,2022-01-04T16:08:11.000+0000,Apache,4230,497,0.058
AIRFLOW,7038,5319,2016-04-15T04:07:26.000+0000,2020-05-26T22:08:20.000+0000,Apache,3279,785,0.091
WICKET,6933,6806,2006-10-16T05:16:03.000+0000,2021-12-30T10:02:41.000+0000,Apache,5629,33,0.551
JSDSERVER,6895,4198,2013-09-12T01:55:47.000+0000,2022-01-05T07:34:03.000+0000,Jira,860,142,0.187
JSDCLOUD,6892,3990,2011-03-10T13:03:53.000+0000,2022-01-05T06:32:20.000+0000,Jira,1048,217,0.109
CRUC,6765,5886,2007-08-15T03:36:53.000+0000,2021-11-17T11:10:07.000+0000,Jira,2724,76,0.302
HARMONY,6676,5672,2005-06-19T03:40:00.000+0000,2011-10-30T07:56:05.000+0000,Apache,5258,41,0.265
PHOENIX,6593,5012,2014-01-11T23:14:04.000+0000,2022-01-05T05:20:30.000+0000,Apache,3761,205,0.202
UIMA,6401,5870,2006-11-10T15:08:46.000+0000,2022-01-03T14:50:10.000+0000,Apache,5293,25,0.383
FELIX,6392,5624,2005-07-24T01:33:39.000+0000,2022-01-03T08:07:55.000+0000,Apache,4786,57,0.305
KOGITO,6347,4849,2016-10-31T15:27:35.000+0000,2022-01-04T16:29:53.000+0000,RedHat,4836,105,0.143
NETBEANS,6155,2804,2016-11-03T12:49:12.000+0000,2022-01-05T17:19:43.000+0000,Apache,1430,164,0.259
HDDS,6121,4813,2017-04-20T18:44:44.000+0000,2022-01-05T20:03:29.000+0000,Apache,4589,142,0.206
DROOLS,6087,5171,2006-07-03T08:53:53.000+0000,2022-01-04T15:07:12.000+0000,RedHat,5146,86,0.414
MNG,6046,5589,2002-11-20T01:06:42.000+0000,2021-12-30T00:45:36.000+0000,Apache,3798,68,0.396
JBPAPP,5932,5930,2007-03-01T20:38:17.000+0000,2020-11-30T09:48:25.000+0000,RedHat,5770,235,0.12
AXIS2,5918,5227,2004-06-25T08:42:22.000+0000,2022-01-05T07:13:59.000+0000,Apache,2942,77,0.277
TEIID,5769,5683,2001-10-31T00:00:00.000+0000,2021-10-29T13:13:49.000+0000,RedHat,5383,30,0.874
ZEPPELIN,5614,3392,2015-03-17T14:51:13.000+0000,2022-01-05T00:35:42.000+0000,Apache,2745,316,0.34
FE,5561,4634,2006-01-11T07:21:25.000+0000,2021-11-02T09:28:29.000+0000,Jira,1886,74,0.227
THRIFT,5490,4686,2008-05-08T22:08:35.000+0000,2022-01-04T16:01:30.000+0000,Apache,3907,422,0.33
AS7,5427,5427,2006-04-19T09:53:41.000+0000,2013-04-19T10:06:49.000+0000,RedHat,5154,136,0.163
DEVELOPER,5425,5250,2012-03-14T15:45:50.000+0000,2021-12-15T14:28:21.000+0000,RedHat,4063,70,0.259
PDFBOX,5347,4959,2003-07-04T00:57:00.000+0000,2022-01-04T11:47:59.000+0000,Apache,3200,18,0.766
PIG,5338,4305,2007-10-10T22:29:17.000+0000,2021-11-13T06:33:17.000+0000,Apache,3692,314,0.233
SRCTREE,5292,2447,2010-07-27T21:22:25.000+0000,2022-01-04T04:34:57.000+0000,Jira,29,7,0.828
TS,5103,4413,2009-10-30T00:05:08.000+0000,2017-01-05T18:30:19.000+0000,Apache,3751,92,0.404
WW,5093,4761,2002-05-10T16:37:38.000+0000,2021-12-30T12:32:41.000+0000,Apache,3233,78,0.396
MONGOID,5089,4889,2009-11-17T06:22:01.000+0000,2022-01-03T16:42:34.000+0000,MongoDB,1305,18,0.585
WFCORE,5054,4495,2010-01-26T13:23:12.000+0000,2022-01-04T17:47:45.000+0000,RedHat,4390,145,0.276
JBSEAM,5032,4134,2004-11-26T12:21:34.000+0000,2018-08-01T02:03:47.000+0000,RedHat,3434,50,0.431
KYLIN,4989,4370,2014-12-21T12:23:32.000+0000,2022-01-04T07:43:35.000+0000,Apache,3583,190,0.206
CALCITE,4968,3563,2014-06-18T07:33:31.000+0000,2022-01-04T19:58:56.000+0000,Apache,2832,143,0.492
ACCUMULO,4745,4496,2011-10-03T13:57:50.000+0000,2019-08-09T15:30:10.000+0000,Apache,3442,129,0.388
THREESCALE,4658,3639,2016-10-10T09:43:31.000+0000,2022-01-03T08:42:57.000+0000,RedHat,568,59,0.204
JCR,4630,4036,2004-09-16T03:45:57.000+0000,2022-01-03T07:43:37.000+0000,Apache,2936,45,0.447
QDS,4619,3372,2010-10-20T17:26:53.000+0000,2022-01-04T12:46:12.000+0000,Qt,3326,63,0.295
AMKT,4563,4466,2011-11-09T22:17:15.107-0600,2021-12-17T12:24:00.156-0600,JiraEcosystem,0,0,
SVN,4518,3737,2001-03-19T18:15:38.000+0000,2022-01-04T06:57:53.000+0000,Apache,304,28,0.372
INT,4494,4357,2007-11-20T10:35:34.000+0000,2019-01-14T19:32:56.000+0000,Spring,4355,25,0.501
ATLAS,4469,3674,2015-05-22T00:51:17.000+0000,2022-01-05T22:33:22.000+0000,Apache,3073,115,0.226
CWD,4407,3357,2006-09-25T19:37:04.000+0000,2021-12-30T18:35:30.000+0000,Jira,1709,104,0.31
STS,4407,4407,2008-03-18T23:10:12.000+0000,2017-04-03T07:39:24.000+0000,Spring,2864,18,0.437
TEZ,4347,3259,2013-03-25T14:31:14.000+0000,2022-01-04T18:03:07.000+0000,Apache,2860,113,0.305
CARBONDATA,4316,3255,2016-06-20T00:43:17.000+0000,2021-12-22T09:58:49.000+0000,Apache,2199,121,0.135
SM,4308,4210,2005-07-08T06:07:42.000+0000,2021-12-28T05:45:42.000+0000,Apache,3677,37,0.637
ZOOKEEPER,4263,2805,2008-06-06T22:02:18.000+0000,2022-01-03T14:50:04.000+0000,Apache,2329,359,0.179
DBZ,4241,3504,2016-01-26T09:19:34.000+0000,2022-01-04T13:45:31.000+0000,RedHat,2268,55,0.563
JBDS,4221,4070,2007-03-16T05:46:49.000+0000,2022-01-04T13:46:38.000+0000,RedHat,3805,108,0.431
AUI,4183,3983,2011-08-28T18:32:02.082-0500,2021-12-15T07:15:25.415-0600,JiraEcosystem,0,0,
QTQAINFRA,4169,3581,2009-11-12T10:02:54.000+0000,2022-01-04T14:10:43.000+0000,Qt,3514,116,0.213
QT3DS,4092,3544,2017-02-16T07:44:51.000+0000,2021-12-10T15:20:33.000+0000,Qt,3265,64,0.289
TUSCANY,4082,3496,2006-01-10T05:26:27.000+0000,2014-04-16T15:45:18.000+0000,Apache,2075,38,0.305
JAVA,4055,3819,2009-04-17T20:00:51.000+0000,2022-01-04T15:57:11.000+0000,MongoDB,2631,39,0.727
MYFACES,4054,4037,2004-11-05T17:31:27.000+0000,2021-12-17T14:01:04.000+0000,Apache,3012,55,0.537
RHBPMS,4026,3986,2012-04-17T13:33:00.000+0000,2021-08-27T05:34:08.000+0000,RedHat,3959,84,0.335
ROO,3987,3452,2009-05-13T12:51:38.000+0000,2021-09-20T07:42:32.000+0000,Spring,3402,32,0.525
JBESB,3890,3453,2003-09-17T05:23:10.000+0000,2021-05-19T08:24:14.000+0000,RedHat,3254,39,0.452
JBWS,3845,3789,2004-10-06T06:04:10.000+0000,2022-01-04T08:39:27.000+0000,RedHat,3254,50,0.467
UPM,3763,3708,2009-02-16T17:57:03.015-0600,2021-02-23T07:20:29.418-0600,JiraEcosystem,0,0,
STORM,3762,2668,2013-12-06T20:56:27.000+0000,2022-01-03T20:30:25.000+0000,Apache,2398,291,0.172
CSHARP,3752,3191,2010-02-12T13:42:38.000+0000,2022-01-04T15:57:07.000+0000,MongoDB,2437,21,0.651
ENTMQBR,3720,2857,2011-02-01T15:04:06.000+0000,2022-01-04T16:55:26.000+0000,RedHat,2828,59,0.443
XD,3707,3046,2013-04-12T05:37:16.000+0000,2018-11-16T15:57:31.000+0000,Spring,2469,31,0.27
OOZIE,3646,2737,2011-07-18T23:56:22.000+0000,2021-12-15T19:11:11.000+0000,Apache,2122,140,0.192
TIKA,3633,2690,2007-03-31T06:54:09.000+0000,2022-01-05T12:50:18.000+0000,Apache,1426,30,0.573
BIGTOP,3622,3013,2011-07-19T19:38:40.000+0000,2022-01-03T13:19:13.000+0000,Apache,2789,155,0.286
NODE,3621,3105,2012-07-09T19:42:41.000+0000,2022-01-04T15:57:13.000+0000,MongoDB,2479,34,0.539
JAMES,3611,3238,2001-06-03T11:06:50.000+0000,2021-12-29T13:03:20.000+0000,Apache,1277,21,0.561
BXMSDOC,3589,3419,2014-04-24T06:20:00.000+0000,2022-01-04T12:52:06.000+0000,RedHat,3411,131,0.21
ARTEMIS,3571,3202,2014-10-23T14:22:56.000+0000,2022-01-04T02:29:49.000+0000,Apache,1889,21,0.522
RANGER,3567,3053,2014-07-28T22:35:53.000+0000,2022-01-05T07:16:50.000+0000,Apache,2820,77,0.183
AIRAVATA,3538,2802,2011-05-13T02:01:02.000+0000,2021-12-30T10:04:04.000+0000,Apache,2137,44,0.387
JBTM,3483,3214,2005-12-23T17:03:04.000+0000,2021-12-24T08:20:46.000+0000,RedHat,3082,51,0.336
CDRIVER,3410,2901,2011-04-08T20:06:10.000+0000,2022-01-04T15:57:04.000+0000,MongoDB,2539,50,0.509
FLUME,3380,2367,2010-06-29T02:44:45.000+0000,2021-12-17T05:38:46.000+0000,Apache,1738,153,0.299
TOMEE,3371,2661,2007-07-23T12:27:07.000+0000,2021-12-29T09:41:23.000+0000,Apache,1708,64,0.635
FUSETOOLS,3341,2749,2011-01-05T16:16:58.000+0000,2022-01-04T13:16:17.000+0000,RedHat,2479,38,0.64
TRAFODION,3337,2528,2015-06-20T02:57:06.000+0000,2020-12-15T08:06:56.000+0000,Apache,2245,76,0.167
