project,method,recall@5,recall@10,mrr,ndcg@10,n,oracle_recall,ndcg@10_over_oracle,importance_dev_project_total,importance_dev_component_count,importance_dev_component_share,importance_dev_component_recent_365d,importance_dev_issuetype_count,importance_dev_reporter_affinity,importance_dev_reporter_affinity_share,importance_dev_recency_days,importance_dev_open_workload,importance_dev_recent_volume_365d,importance_dev_recent_volume_90d,importance_text_affinity_score,importance_text_affinity_rank,importance_bm25_affinity_score,importance_bm25_affinity_rank,importance_is_known_dev
JRASERVER,lightgbm_lambdarank,0.17289719626168223,0.316588785046729,0.11554617449733716,0.15334753996339054,856,0.602803738317757,0.25439049265244634,481,196,474,225,333,76,177,714,229,116,71,943,520,914,530,1
SPARK,lightgbm_lambdarank,0.6435897435897436,0.6634615384615384,0.6255669524684292,0.6330816521401856,4680,0.7104700854700855,0.8910743254183665,596,316,693,300,424,162,375,522,288,206,123,640,366,541,447,1
HADOOP,lightgbm_lambdarank,0.4007276507276507,0.4282744282744283,0.38048020956490913,0.3893353477273663,1924,0.5036382536382537,0.7730456233513444,495,250,423,158,368,154,274,781,377,184,83,772,513,698,468,2
KAFKA,lightgbm_lambdarank,0.5946969696969697,0.6316287878787878,0.5547161309360887,0.5693500465382778,1056,0.7443181818181818,0.7649283067995183,492,248,481,218,298,174,259,693,294,216,70,811,476,752,518,0
CASSANDRA,lightgbm_lambdarank,0.39770952628839146,0.431025507548152,0.35588637540164186,0.36961981215066375,1921,0.5762623633524206,0.6414089061801491,570,242,408,201,389,148,487,576,214,243,124,794,426,738,440,0
