project,method,recall@5,recall@10,mrr,ndcg@10,n
JRASERVER,lightgbm_lambdarank,0.16238317757009346,0.2441588785046729,0.09241185760135046,0.1264965106358294,856
SPARK,lightgbm_lambdarank,0.47478632478632476,0.49273504273504276,0.4566438800752537,0.4643028010694741,4680
HADOOP,lightgbm_lambdarank,0.3123700623700624,0.3284823284823285,0.27898145521563045,0.28982046743714973,1924
KAFKA,lightgbm_lambdarank,0.41950757575757575,0.47632575757575757,0.38425107348381327,0.40424983040072565,1056
CASSANDRA,lightgbm_lambdarank,0.24362311296199896,0.2894325871941697,0.21410084211989136,0.22910300422525404,1921
